Number_Class,Difficulty,Solved,Number,Class,Problem Name,Tag_binarysearch,Tag_bitmasks,Tag_bruteforce,Tag_constructivealgorithms,Tag_datastructures,Tag_dp,Tag_expressionparsing,Tag_graphmatchings,Tag_greedy,Tag_hashing,Tag_implementation,Tag_math,Tag_numbertheory,Tag_shortestpaths,Tag_sortings,Tag_specialproblem,Tag_strings,Tag_twopointers
4A,800,394103,4,A,Watermelon                    ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71A,800,289869,71,A,Way Too Long Words                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231A,800,243993,231,A,Team                    ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1A,1000,210189,1,A,Theatre Square                    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158A,800,194010,158,A,Next Round                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50A,800,189181,50,A,Domino piling                    ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
282A,800,187890,282,A,Bit++                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263A,800,184964,263,A,Beautiful Matrix                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112A,800,173995,112,A,Petya and Strings                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
339A,800,164328,339,A,Helpful Maths                    ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
281A,800,161819,281,A,Word Capitalization                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
236A,800,157527,236,A,Boy or Girl                    ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
118A,1000,155375,118,A,String Task                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
266A,800,148574,266,A,Stones on the Table                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
791A,800,144275,791,A,Bear and Big Brother                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
546A,800,136237,546,A,Soldier and Bananas                    ,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
617A,800,135582,617,A,Elephant                    ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59A,800,131871,59,A,Word                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
69A,1000,130609,69,A,Young Physicist                    ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
977A,800,126541,977,A,Wrong Subtraction                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96A,900,125846,96,A,Football                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
110A,800,116151,110,A,Nearly Lucky Number                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
734A,800,114111,734,A,Anton and Danik                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116A,800,111520,116,A,Tram                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41A,800,110782,41,A,Translation                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
266B,800,107949,266,B,Queue at the School                    ,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
677A,800,106517,677,A,Vanya and Fence                    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
271A,800,105419,271,A,Beautiful Year                    ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58A,1000,104528,58,A,Chat room                    ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
