Student,Problem Name,A,B,C,D,J,E,L,K,G,H,B1,B2,G1,F,I,M,B3,D1,D2,Y,X,Z,R,N,L1,L2,C1,F1,E1,C2,100,F2,E2,Q,P,A1,A2,O,U,W,T,G3,G2,F3,1,S,101,H1,H2,123,problem_difficulty,solving_times,Tag_binarysearch,Tag_bitmasks,Tag_bruteforce,Tag_constructivealgorithms,Tag_datastructures,Tag_dp,Tag_expressionparsing,Tag_graphmatchings,Tag_greedy,Tag_hashing,Tag_implementation,Tag_math,Tag_numbertheory,Tag_shortestpaths,Tag_sortings,Tag_specialproblem,Tag_strings,Tag_twopointers,Problem Class A,Problem Class B,previous_solved_problems_count,y,الأساسيات,أنواع البيانات,المتغيرات,التعامل مع الأعداد,التعامل مع النصوص,العوامل,المصفوفات,الدوال,الحلقات,الشروط,tutorial_difficulty
Mohammed--alhefawe,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
OmranMk,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
RetiringNextCentury,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
HASSAN_GH,Watermelon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Brre.Hemo,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
codeiologist,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
DARK-N,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.646048109965726,1,1,0,0,0,1,0,0,0,1,32.64604810996561
Kareembo,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.484536082474268,1,1,0,0,0,1,0,0,0,1,32.64604810996561
masa_beydoun,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40.327471194663566,1,1,0,0,0,1,0,0,0,1,32.64604810996561
kinannotfound,Watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,394103,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40.327471194663566,1,1,0,0,0,1,0,0,0,1,32.64604810996561
