#,When,Who,Language,Time,Memory,Number_Class,Problem_name,Number,Class
164909440,Jul/19/2022 17:36,kinannotfound,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
168664652,Aug/17/2022 10:44,kinannotfound,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
147200215,Feb/21/2022 20:13,obadaa.masri,GNU C++14,30 ms,0 KB,4A,Watermelon,4,A
172236866,Sep/15/2022 14:51,ShathaS2003,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
37352281,Apr/15/2018 14:50,samer_orfali,GNU C++,30 ms,3200 KB,4A,Watermelon,4,A
16336538,Feb/25/2016 22:19,Mohammad_Kartoumeh,GNU C++,30 ms,0 KB,4A,Watermelon,4,A
57555806,Jul/22/2019 22:39,yaser.harba,GNU C++14,60 ms,0 KB,4A,Watermelon,4,A
103235649,Jan/04/2021 18:12,_SADIEM_,GNU C++14,62 ms,0 KB,4A,Watermelon,4,A
169701660,Aug/26/2022 16:02,Karam_mohmd,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
109063973,Mar/04/2021 11:59,amarashujaa,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
158305123,May/24/2022 16:59,099450735z,GNU C++17 (64),0 ms,0 KB,4A,Watermelon,4,A
166459842,Aug/01/2022 12:03,IT-24-,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
148525935,Mar/06/2022 09:54,7amzahsa,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
149556610,Mar/13/2022 21:59,Abd_HM,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
180373003,Nov/10/2022 21:08,_OmarAbdo,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
59826278,Aug/31/2019 22:40,yaser.harba,GNU C++17,60 ms,0 KB,4A,Watermelon,4,A
109035344,Mar/03/2021 21:59,Alaa-Kaadan,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
161030432,Jun/18/2022 13:32,masa_beydoun,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
173002117,Sep/22/2022 01:00,codeiologist,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
23932954,Jan/19/2017 02:41,Grapeee,GNU C++,30 ms,2000 KB,4A,Watermelon,4,A
102037734,Dec/22/2020 14:50,3bdo_Farah,GNU C++14,62 ms,0 KB,4A,Watermelon,4,A
166796937,Aug/03/2022 14:00,Bicso,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
196430737,Mar/07/2023 22:01,mohammed_kurdi,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
121559347,Jul/07/2021 14:55,RetiringNextCentury,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
148207013,Mar/03/2022 17:10,M.Qattan,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
156412008,May/09/2022 15:53,HASSAN_GH,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
121565487,Jul/07/2021 16:11,RetiringNextCentury,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
109115562,Mar/05/2021 01:48,Bassam1412,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
121565537,Jul/07/2021 16:11,RetiringNextCentury,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
125642882,Aug/12/2021 10:31,RetiringNextCentury,GNU C++17,62 ms,3700 KB,4A,Watermelon,4,A
158765086,May/29/2022 05:41,Nour-Aldeen,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
188148158,Jan/06/2023 01:07,_s_h_a_m__,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
197542824,Mar/15/2023 19:41,abbas.az408,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
121565572,Jul/07/2021 16:12,RetiringNextCentury,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
148735881,Mar/07/2022 22:32,AbodeKu,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
132369900,Oct/18/2021 19:29,Mohammed--alhefawe,GNU C++17 (64),30 ms,0 KB,4A,Watermelon,4,A
149047785,Mar/10/2022 08:54,Wiaam_SA,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
197512762,Mar/15/2023 16:04,abbas.az408,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
170860087,Sep/04/2022 17:53,sarah.m.akkad,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
197512320,Mar/15/2023 16:01,abbas.az408,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
173684295,Sep/27/2022 12:27,Ansam092,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
160766286,Jun/15/2022 23:24,Conan_y65,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
38146991,May/12/2018 22:26,ali.alnahhas.22,GNU C++11,62 ms,3400 KB,4A,Watermelon,4,A
85917675,Jul/04/2020 14:30,7nooOoOoon,MS C++ 2017,62 ms,300 KB,4A,Watermelon,4,A
168436306,Aug/15/2022 23:08,sidratello9,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
67471658,Dec/23/2019 16:01,Diab,GNU C++11,62 ms,0 KB,4A,Watermelon,4,A
185198124,Dec/14/2022 18:20,ghaith.clash88,GNU C++17 (64),30 ms,0 KB,4A,Watermelon,4,A
187181482,Dec/29/2022 22:22,NawarAlTibi,GNU C++17,0 ms,0 KB,4A,Watermelon,4,A
65457959,Nov/21/2019 01:17,Brre.Hemo,GNU C++14,60 ms,0 KB,4A,Watermelon,4,A
163727293,Jul/12/2022 03:44,kinannotfound,GNU C++20 (64),0 ms,0 KB,4A,Watermelon,4,A
92972985,Sep/16/2020 15:25,Qddo,GNU C++14,62 ms,200 KB,4A,Watermelon,4,A
146899109,Feb/19/2022 09:29,anas_allaham,MS C++ 2017,30 ms,0 KB,4A,Watermelon,4,A
148638863,Mar/06/2022 21:59,sanji333333,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
169062621,Aug/20/2022 12:46,Kareembo,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
178888926,Nov/01/2022 22:18,A.mohamad,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
190116635,Jan/22/2023 19:08,Abdulrhaim_Ma,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
72231228,Mar/02/2020 09:39,Tashleef,GNU C++14,62 ms,0 KB,4A,Watermelon,4,A
68055768,Jan/02/2020 01:26,RamaRehawi,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
195925772,Mar/04/2023 10:35,abdalrhman.alkafry,GNU C++17 (64),30 ms,0 KB,4A,Watermelon,4,A
102348460,Dec/25/2020 22:26,RetiringNextCentury,MS C++ 2017,92 ms,0 KB,4A,Watermelon,4,A
172839004,Sep/20/2022 16:53,Conan_y65,GNU C++20 (64),0 ms,0 KB,4A,Watermelon,4,A
179946989,Nov/07/2022 12:12,Zaid_Al_Habbal,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
147511100,Feb/23/2022 22:48,ghina.alrefai,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
167779045,Aug/10/2022 19:18,MarioAndrawos,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
62257439,Oct/10/2019 14:12,sepsa.m,GNU C++17,30 ms,0 KB,4A,Watermelon,4,A
162695267,Jul/04/2022 05:53,Sarah_nn,GNU C++17,0 ms,0 KB,4A,Watermelon,4,A
78967969,May/04/2020 15:49,Hamza_99,GNU C++17,60 ms,0 KB,4A,Watermelon,4,A
106448401,Feb/04/2021 14:38,Ahmed-yaser,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
108832549,Mar/01/2021 22:30,OmranMk,GNU C++17,62 ms,0 KB,4A,Watermelon,4,A
147008270,Feb/20/2022 11:44,AbdAR,GNU C++17,0 ms,0 KB,4A,Watermelon,4,A
80557710,May/18/2020 01:44,Baraa_Armoush,GNU C++17,62 ms,3600 KB,4A,Watermelon,4,A
71750818,Feb/24/2020 11:04,AhmadShahal,GNU C++14,60 ms,0 KB,4A,Watermelon,4,A
137831073,Dec/02/2021 22:32,a7mad_taieb,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
144890068,Feb/02/2022 03:07,Zeina_Albarre,GNU C++20 (64),30 ms,0 KB,4A,Watermelon,4,A
