#,When,Who,Problem Name,Lang,Number,Class,Number_Class
3497724,2013/04/09 22:51,RedNextCentury,cAPSlOCK,GNU C++,131,A,131A
3499219,2013/04/10 15:14,RedNextCentury,WayTooLongWords,GNU C++,71,A,71A
3499268,2013/04/10 15:31,RedNextCentury,NextRound,GNU C++,158,A,158A
3499298,2013/04/10 15:38,RedNextCentury,Watermelon,GNU C++,4,A,4A
3499362,2013/04/10 15:53,RedNextCentury,StringTask,GNU C++,118,A,118A
3499574,2013/04/10 16:49,RedNextCentury,Tram,GNU C++,116,A,116A
3500375,2013/04/10 21:02,RedNextCentury,Team,GNU C++,231,A,231A
3500486,2013/04/10 21:34,RedNextCentury,Permutation,GNU C++,137,B,137B
3500546,2013/04/10 21:55,RedNextCentury,LittlePigsandWolves,GNU C++,116,B,116B
3506134,2013/04/11 19:47,RedNextCentury,YaroslavandPermutations,GNU C++,296,A,296A
3548641,2013/04/15 22:51,RedNextCentury,QueueattheSchool,GNU C++,266,B,266B
3558045,2013/04/17 23:55,RedNextCentury,President'sOffice,GNU C++,6,B,6B
3576333,2013/04/19 22:49,RedNextCentury,Sail,GNU C++,298,B,298B
3582313,2013/04/20 22:32,RedNextCentury,UnluckyTicket,GNU C++,160,B,160B
3582358,2013/04/20 22:51,RedNextCentury,Squares,GNU C++,263,B,263B
3603121,2013/04/22 19:54,RedNextCentury,KsushatheSquirrel,GNU C++,299,B,299B
3615531,2013/04/24 12:21,RedNextCentury,CanvasFrames,GNU C++,127,B,127B
3625406,2013/04/25 20:21,RedNextCentury,Array,GNU C++,300,A,300A
3751366,2013/05/20 23:45,RedNextCentury,Tictactoe,GNU C++,3,C,3C
3796800,2013/05/30 19:46,RedNextCentury,IlyaandBankAccount,GNU C++,313,A,313A
3799689,2013/05/30 20:18,RedNextCentury,IlyaandQueries,GNU C++,313,B,313B
3821792,2013/06/04 17:50,RedNextCentury,SumofDigits,GNU C++,102,B,102B
3821825,2013/06/04 18:01,RedNextCentury,TestingPantsforSadness,GNU C++,104,B,104B
3827004,2013/06/06 12:09,RedNextCentury,Homework,GNU C++,102,C,102C
3854365,2013/06/10 18:50,RedNextCentury,Hexadecimal'stheorem,GNU C++,199,A,199A
4068959,2013/07/14 14:19,RedNextCentury,TheatreSquare,GNU C++,1,A,1A
4117346,2013/07/20 18:20,RedNextCentury,Cakeminator,GNU C++,330,A,330A
4176684,2013/07/27 12:48,RedNextCentury,CandyBags,GNU C++,334,A,334A
4265306,2013/08/11 14:31,RedNextCentury,VasilytheBearandTriangle,GNU C++,336,A,336A
4273297,2013/08/13 16:29,RedNextCentury,VasilytheBearandFly,GNU C++,336,B,336B
4287763,2013/08/16 20:05,RedNextCentury,Puzzles,GNU C++,337,A,337A
4292781,2013/08/16 20:56,RedNextCentury,RoutineProblem,GNU C++,337,B,337B
4421020,2013/09/07 12:52,RedNextCentury,XeniaandDivisors,GNU C++,342,A,342A
4460109,2013/09/14 19:40,RedNextCentury,Magnets,GNU C++,344,A,344A
