#,When,Who,Problem_name,Number,Character
209681722,Jun/14/2023 18:38,kinannotfound,Keep it Beautiful,1841,B
209597019,Jun/13/2023 20:48,kinannotfound,Keep it Beautiful,1841,B
209489090,Jun/12/2023 21:52,kinannotfound,Game with Board,1841,A
209209772,Jun/10/2023 18:37,kinannotfound,Ski Resort,1840,C
209181412,Jun/10/2023 13:14,kinannotfound,Running Miles,1826,D
209179575,Jun/10/2023 12:54,kinannotfound,Running Miles,1826,D
209179382,Jun/10/2023 12:52,kinannotfound,Running Miles,1826,D
209179265,Jun/10/2023 12:51,kinannotfound,Running Miles,1826,D
209177916,Jun/10/2023 12:36,kinannotfound,Running Miles,1826,D
209168685,Jun/10/2023 11:04,kinannotfound,Running Miles,1826,D
209166813,Jun/10/2023 10:44,kinannotfound,Running Miles,1826,D
209166611,Jun/10/2023 10:41,kinannotfound,Running Miles,1826,D
209131002,Jun/09/2023 22:10,kinannotfound,Binary Cafe,1840,B
209116263,Jun/09/2023 19:19,kinannotfound,Cipher Shifer,1840,A
208560097,Jun/05/2023 10:03,kinannotfound,Minimize Permutation Subarrays,1838,B
208516251,Jun/04/2023 21:23,kinannotfound,Blackboard List,1838,A
208514691,Jun/04/2023 21:12,kinannotfound,Blackboard List,1838,A
208430147,Jun/04/2023 16:43,kinannotfound,The Good Array,1839,A
208428947,Jun/04/2023 16:28,kinannotfound,The Good Array,1839,A
208393705,Jun/04/2023 10:06,kinannotfound,The Good Array,1839,A
208392427,Jun/04/2023 09:51,kinannotfound,The Good Array,1839,A
208336313,Jun/03/2023 19:00,kinannotfound,Insert Zero and Invert Prefix,1839,C
208325248,Jun/03/2023 18:27,kinannotfound,Lamps,1839,B
208312227,Jun/03/2023 17:54,kinannotfound,The Good Array,1839,A
208076948,Jun/01/2023 19:02,kinannotfound,Dreaming of Freedom,1826,C
208076857,Jun/01/2023 19:01,kinannotfound,Dreaming of Freedom,1826,C
208076408,Jun/01/2023 18:56,kinannotfound,Dreaming of Freedom,1826,C
