#,When,Who,Problem_name,Lang,Number,Character
103710999,Jan/08/2021 14:51,043_33798_Nuraiym-7,Theatre Square,GNU C++17,1,A
105546878,Jan/27/2021 10:52,043_33798_Nuraiym-7,Boy or Girl,GNU C++17,236,A
105547221,Jan/27/2021 10:56,043_33798_Nuraiym-7,Watermelon,GNU C++17,4,A
105988091,Jan/30/2021 09:59,043_33798_Nuraiym-7,Elections,GNU C++17,1043,A
106182925,Feb/01/2021 14:25,043_33798_Nuraiym-7,Next Round,GNU C++17,158,A
106187267,Feb/01/2021 15:17,043_33798_Nuraiym-7,Anton and Danik,GNU C++17,734,A
106275951,Feb/02/2021 14:43,043_33798_Nuraiym-7,Domino piling,GNU C++17,50,A
106276984,Feb/02/2021 14:56,043_33798_Nuraiym-7,Petya and Strings,GNU C++17,112,A
106346994,Feb/03/2021 11:01,043_33798_Nuraiym-7,Helpful Maths,GNU C++17,339,A
106453125,Feb/04/2021 15:32,043_33798_Nuraiym-7,Beautiful Matrix,GNU C++17,263,A
107036982,Feb/10/2021 10:57,043_33798_Nuraiym-7,HQ9+,GNU C++17,133,A
107134441,Feb/11/2021 18:12,043_33798_Nuraiym-7,Minutes Before the New Year,GNU C++17,1283,A
107386721,Feb/15/2021 10:48,043_33798_Nuraiym-7,Way Too Long Words,GNU C++17,71,A
112147280,Apr/06/2021 15:07,043_33798_Nuraiym-7,Queue at the School,GNU C++11,266,B
116102993,May/13/2021 15:24,043_33798_Nuraiym-7,Wrong Subtraction,GNU C++11,977,A
130498951,Oct/01/2021 21:52,043_33798_Nuraiym-7,Magnets,GNU C++17,344,A
130799045,Oct/04/2021 15:53,043_33798_Nuraiym-7,Word Capitalization,GNU C++17,281,A
130799821,Oct/04/2021 15:58,043_33798_Nuraiym-7,Bear and Big Brother,GNU C++17,791,A
130811893,Oct/04/2021 17:25,043_33798_Nuraiym-7,Elephant,GNU C++17,617,A
131043344,Oct/07/2021 11:08,043_33798_Nuraiym-7,Word,GNU C++17,59,A
131083269,Oct/07/2021 18:27,043_33798_Nuraiym-7,A+B,MS C++ 2017,acmsguru,100
131274394,Oct/09/2021 08:46,043_33798_Nuraiym-7,Tram,GNU C++17,116,A
158305123,May/24/2022 16:59,099450735z,Watermelon,GNU C++17 (64),4,A
158307221,May/24/2022 17:23,099450735z,Team,GNU C++17 (64),231,A
158406413,May/25/2022 19:04,099450735z,Z mod X = C,GNU C++17 (64),1684,B
