#,When,Who,Problem Name,Lang,Number,Class,Number_Class
132369900,2021-10-18 19:29:00,Mohammed--alhefawe,Watermelon,GNU C++17 (64),4,A,4A
132377185,2021-10-18 21:02:00,Mohammed--alhefawe,WayTooLongWords,GNU C++17 (64),71,A,71A
132390336,2021-10-19 01:59:00,Mohammed--alhefawe,Bit++,GNU C++17 (64),282,A,282A
157408860,2022-05-16 18:53:00,Mohammed--alhefawe,Team,GNU C++17,231,A,231A
157413706,2022-05-16 19:47:00,Mohammed--alhefawe,TheatreSquare,GNU C++17,1,A,1A
157501036,2022-05-17 20:17:00,Mohammed--alhefawe,NextRound,GNU C++17,158,A,158A
157721143,2022-05-19 19:13:00,Mohammed--alhefawe,Dominopiling,GNU C++17,50,A,50A
157732316,2022-05-19 20:33:00,Mohammed--alhefawe,BeautifulMatrix,GNU C++17,263,A,263A
157920232,2022-05-21 18:53:00,Mohammed--alhefawe,StonesontheTable,GNU C++17,266,A,266A
157921705,2022-05-21 19:09:00,Mohammed--alhefawe,BearandBigBrother,GNU C++17,791,A,791A
157924335,2022-05-21 19:39:00,Mohammed--alhefawe,PetyaandStrings,GNU C++17,112,A,112A
158069113,2022-05-22 19:17:00,Mohammed--alhefawe,StringTask,GNU C++17,118,A,118A
158081630,2022-05-22 20:29:00,Mohammed--alhefawe,HelpfulMaths,GNU C++17,339,A,339A
158241590,2022-05-23 22:37:00,Mohammed--alhefawe,WordCapitalization,GNU C++17,281,A,281A
158247937,2022-05-24 00:53:00,Mohammed--alhefawe,BoyorGirl,GNU C++17,236,A,236A
158291607,2022-05-24 14:23:00,Mohammed--alhefawe,YoungPhysicist,GNU C++17,69,A,69A
158295160,2022-05-24 15:05:00,Mohammed--alhefawe,SoldierandBananas,GNU C++17,546,A,546A
158297837,2022-05-24 15:39:00,Mohammed--alhefawe,Elephant,GNU C++17,617,A,617A
158437961,2022-05-25 21:11:00,Mohammed--alhefawe,Football,GNU C++17,96,A,96A
158454639,2022-05-25 21:54:00,Mohammed--alhefawe,WrongSubtraction,GNU C++17,977,A,977A
158463075,2022-05-25 22:28:00,Mohammed--alhefawe,Word,GNU C++17,59,A,59A
158566098,2022-05-26 23:57:00,Mohammed--alhefawe,Tram,GNU C++17,116,A,116A
158567295,2022-05-27 00:28:00,Mohammed--alhefawe,NearlyLuckyNumber,GNU C++17,110,A,110A
158570377,2022-05-27 02:29:00,Mohammed--alhefawe,QueueattheSchool,GNU C++17,266,B,266B
158651370,2022-05-28 00:47:00,Mohammed--alhefawe,Chatroom,GNU C++17,58,A,58A
158652010,2022-05-28 01:11:00,Mohammed--alhefawe,Translation,GNU C++17,41,A,41A
158652477,2022-05-28 01:31:00,Mohammed--alhefawe,AntonandDanik,GNU C++17,734,A,734A
158739641,2022-05-28 19:02:00,Mohammed--alhefawe,LuckyDivision,GNU C++17,122,A,122A
158747067,2022-05-28 20:43:00,Mohammed--alhefawe,BeautifulYear,GNU C++17,271,A,271A
158833302,2022-05-30 00:51:00,Mohammed--alhefawe,VanyaandFence,GNU C++17,677,A,677A
158834316,2022-05-30 01:35:00,Mohammed--alhefawe,Twins,GNU C++17,160,A,160A
158834779,2022-05-30 02:01:00,Mohammed--alhefawe,GeorgeandAccommodation,GNU C++17,467,A,467A
158835938,2022-05-30 02:58:00,Mohammed--alhefawe,Presents,GNU C++17,136,A,136A
158873306,2022-05-30 15:43:00,Mohammed--alhefawe,InSearchofanEasyProblem,GNU C++17,1030,A,1030A
